side,symbol,shares,price,date,state
buy,TOPS,0.00000000,,2020-07-10T05:23:42.413641Z,queued
sell,MMM,0.00000000,,2020-07-09T22:12:29.924919Z,queued
sell,MMM,0.00000000,,2020-07-09T22:12:01.737443Z,cancelled
sell,MMM,0.00000000,,2020-07-09T22:10:29.364521Z,cancelled
buy,HEXO,8.00000000,0.73750000,2020-07-09T19:55:51.048000Z,filled
buy,FCEL,3.00000000,3.04000000,2020-07-09T19:55:21.666000Z,filled
buy,TMFC,2.00000000,29.55500000,2020-07-09T19:53:31.144000Z,filled
sell,PLUG,0.00000000,,2020-07-09T20:40:00.119000Z,confirmed
buy,NOK,2.00000000,4.18500000,2020-07-09T19:42:03.871000Z,filled
buy,FIT,1.00000000,6.64000000,2020-07-09T19:40:43.286000Z,filled
buy,GRAF,1.00000000,19.94000000,2020-07-09T19:40:02.424000Z,filled
sell,MU,0.00000000,,2020-07-09T20:40:00.931000Z,cancelled
sell,XNTK,1.00000000,107.40000000,2020-07-09T19:21:19.456000Z,filled
sell,MSFT,0.00000000,,2020-07-09T20:40:01.006000Z,confirmed
sell,MSFT,0.00000000,,2020-07-09T18:23:07.784000Z,cancelled
buy,LLNW,4.00000000,8.01750000,2020-07-09T18:16:16.998000Z,filled
buy,GSAT,30.00000000,0.35670000,2020-07-09T18:15:28.319000Z,filled
sell,DELL,1.00000000,53.69000000,2020-07-09T18:14:13.430000Z,filled
buy,MCHP,1.00000000,108.00000000,2020-07-09T17:16:11.419000Z,filled
sell,KTOV,10.00000000,0.85400000,2020-07-09T17:11:48.334000Z,filled
sell,GE,6.00000000,6.65330000,2020-07-09T17:09:38.852000Z,filled
sell,VWAGY,3.00000000,16.15000000,2020-07-09T17:08:21.338000Z,filled
buy,MRNA,1.00000000,63.43000000,2020-07-09T16:33:10.560000Z,filled
sell,SNAP,2.00000000,25.64000000,2020-07-09T16:32:19Z,filled
sell,DGII,1.00000000,10.65000000,2020-07-09T16:31:59.514000Z,filled
sell,KTOV,3.00000000,0.85670000,2020-07-09T16:31:41.788000Z,filled
sell,CRBP,1.00000000,7.77000000,2020-07-09T16:31:19.928000Z,filled
buy,FIT,2.00000000,6.49500000,2020-07-09T16:29:35.487000Z,filled
buy,NOK,2.00000000,4.17500000,2020-07-09T16:26:58.439000Z,filled
buy,GRAF,1.00000000,18.65000000,2020-07-09T16:23:10.752000Z,filled
buy,HEXO,20.00000000,0.72950000,2020-07-09T16:22:30.605000Z,filled
buy,INO,2.00000000,23.52500000,2020-07-09T14:43:48.860000Z,filled
sell,KTOV,0.00000000,,2020-07-09T17:11:11.986000Z,cancelled
sell,NIO,2.00000000,13.43000000,2020-07-09T14:41:26.550000Z,filled
sell,NKLA,1.00000000,56.85000000,2020-07-09T13:40:53.130000Z,filled
buy,FCEL,7.00000000,3.03000000,2020-07-09T13:30:00.865000Z,filled
sell,GE,0.00000000,,2020-07-09T17:09:24.765000Z,cancelled
sell,KTOV,8.00000000,0.90750000,2020-07-08T19:55:00.475000Z,filled
buy,SNAP,1.00000000,26.09000000,2020-07-08T18:05:46.585000Z,filled
buy,MU,1.00000000,49.10000000,2020-07-08T18:04:03.029000Z,filled
sell,BAC,2.00000000,22.73500000,2020-07-08T18:03:30.675000Z,filled
sell,NSIT,1.00000000,45.30000000,2020-07-08T18:03:12.966000Z,filled
buy,MMM,1.00000000,154.48000000,2020-07-08T17:51:56.446000Z,filled
sell,LLNW,3.00000000,7.34000000,2020-07-08T17:50:44.166000Z,filled
sell,SIRI,3.00000000,5.72330000,2020-07-08T17:50:30.169000Z,filled
sell,PD,1.00000000,29.69000000,2020-07-08T17:49:26.031000Z,filled
sell,SWCH,1.00000000,18.71000000,2020-07-08T17:48:16.401000Z,filled
buy,MRNA,1.00000000,61.46000000,2020-07-08T17:47:25.075000Z,filled
buy,NKLA,1.00000000,50.26000000,2020-07-08T17:46:39.819000Z,filled
sell,MCHP,1.00000000,102.88000000,2020-07-08T16:38:40.904000Z,filled
sell,NSIT,0.00000000,,2020-07-08T18:03:03.175000Z,cancelled
sell,HEINY,1.00000000,47.53000000,2020-07-08T13:33:13.461000Z,filled
sell,MCHP,0.00000000,,2020-07-08T16:38:09.817000Z,cancelled
